algorithm,n,time_ns,comparisons,allocations,partitions
Select(MoM5),10,1000,0,0,0
Select(MoM5),10,1300,0,0,0
Select(MoM5),10,1300,0,0,0
Select(MoM5),10,1100,0,0,0
Select(MoM5),10,900,0,0,0
Select(MoM5),10,800,0,0,0
Select(MoM5),10,900,0,0,0
Select(MoM5),10,1100,0,0,0
Select(MoM5),10,800,0,0,0
Select(MoM5),10,1100,0,0,0
Select(MoM5),10,700,0,0,0
Select(MoM5),10,700,0,0,0
Select(MoM5),10,900,0,0,0
Select(MoM5),10,800,0,0,0
Select(MoM5),10,900,0,0,0
Select(MoM5),10,900,0,0,0
Select(MoM5),10,1000,0,0,0
Select(MoM5),10,900,0,0,0
Select(MoM5),10,900,0,0,0
Select(MoM5),10,800,0,0,0
Select(MoM5),10,900,0,0,0
Select(MoM5),10,900,0,0,0
Select(MoM5),10,800,0,0,0
Select(MoM5),10,900,0,0,0
Select(MoM5),10,900,0,0,0
Select(MoM5),10,900,0,0,0
Select(MoM5),10,700,0,0,0
Select(MoM5),10,800,0,0,0
Select(MoM5),10,800,0,0,0
Select(MoM5),10,800,0,0,0
Select(MoM5),10,800,0,0,0
Select(MoM5),10,900,0,0,0
Select(MoM5),10,700,0,0,0
Select(MoM5),10,900,0,0,0
Select(MoM5),10,800,0,0,0
Select(MoM5),10,900,0,0,0
Select(MoM5),10,900,0,0,0
Select(MoM5),10,900,0,0,0
Select(MoM5),10,900,0,0,0
Select(MoM5),10,900,0,0,0
Select(MoM5),10,900,0,0,0
Select(MoM5),10,900,0,0,0
Select(MoM5),10,1100,0,0,0
Select(MoM5),10,1100,0,0,0
Select(MoM5),10,1000,0,0,0
Select(MoM5),10,3100,0,0,0
Select(MoM5),10,700,0,0,0
Select(MoM5),10,600,0,0,0
Select(MoM5),10,700,0,0,0
Select(MoM5),10,700,0,0,0
Select(MoM5),100,48600,410,0,11
Select(MoM5),100,39200,445,0,13
Select(MoM5),100,31700,458,0,13
Select(MoM5),100,30500,478,0,14
Select(MoM5),100,45300,471,0,14
Select(MoM5),100,36700,452,0,13
Select(MoM5),100,29900,413,0,10
Select(MoM5),100,34400,457,0,13
Select(MoM5),100,37200,451,0,13
Select(MoM5),100,41800,426,0,11
Select(MoM5),100,53800,452,0,13
Select(MoM5),100,26300,456,0,13
Select(MoM5),100,31200,441,0,12
Select(MoM5),100,37200,446,0,13
Select(MoM5),100,24800,463,0,13
Select(MoM5),100,22300,409,0,11
Select(MoM5),100,30200,448,0,13
Select(MoM5),100,31900,436,0,12
Select(MoM5),100,32700,477,0,14
Select(MoM5),100,22500,401,0,10
Select(MoM5),100,23900,444,0,12
Select(MoM5),100,42400,467,0,13
Select(MoM5),100,18700,396,0,10
Select(MoM5),100,21100,418,0,11
Select(MoM5),100,20300,435,0,12
Select(MoM5),100,22000,431,0,12
Select(MoM5),100,21400,428,0,12
Select(MoM5),100,35100,475,0,14
Select(MoM5),100,20100,432,0,11
Select(MoM5),100,23200,475,0,14
Select(MoM5),100,18300,394,0,10
